"","avg_MET","avg_Intra_FLC"
"hsa-mir-29b-1-3p_-_1",115.433388,23.52533831
"hsa-mir-190b",2178.645425,1185.321402
"hsa-mir-16-1-5p",47285.95909,5152.225438
"hsa-let-7a-2-5p_+_1",1945.419753,869.1140866
"hsa-mir-146a-5p",28745.68456,344.0832831
"hsa-mir-92a-1-3p",100255.4006,2554.770636
"hsa-mir-335-3p_-_1",172.6895642,13.90758413
"hsa-mir-30c-1-3p",183.9221266,16.69129053
"hsa-mir-148b-3p",12725.91062,1360.504577
"hsa-mir-151a-3p_-_2",1284.582842,234.9647444
"hsa-mir-151a-3p_-_1",188.0591346,27.74224995
"hsa-mir-504",193.319563,0
"hsa-mir-503",860.3559555,287.2620338
"hsa-mir-5701-1_+_3",1.814054169,106.5747913
"hsa-mir-99b-5p_+_1",233.6018658,10.94565861
"hsa-mir-26a-2-5p_-_1",7408.486842,516.4175526
"hsa-mir-16-2-3p",102.2784442,37.04223861
"hsa-mir-378a-5p",342.1596017,27.25977724
"hsa-mir-194-1-5p_+_1",106.4491646,73.70078457
"hsa-mir-130a-3p",8845.589668,97.24685654
"hsa-mir-326",176.3517759,0
"hsa-mir-4485_+_1",262.7966939,640.7938905
"hsa-mir-654-5p",122.8305217,0
"hsa-mir-28-3p",11219.40131,1516.382598
"hsa-mir-369-3p",650.4896769,0
"hsa-mir-660-5p",2691.396417,758.4590798
"hsa-mir-190a",294.5434675,38.42489172
"hsa-mir-151a-3p_+_1",100.9584928,23.35690497
"hsa-mir-218-1-5p",2923.590751,164.621688
"hsa-mir-423-3p",13173.46581,1628.724438
"hsa-mir-146b-3p",179.1360203,0
"hsa-mir-203",6036.918206,733.0702759
"hsa-mir-200b-5p",125.9249429,41.71553065
"hsa-mir-30c-2-3p",412.8919279,83.26891816
"hsa-mir-30c-1-5p_+_1",100.4718525,64.34511569
"hsa-mir-140-3p",9089.292072,718.3076956
"hsa-mir-378c",301.5148206,41.83527493
"hsa-mir-181a-1-5p_+_1",349.1493693,38.34568323
"hsa-mir-199b-3p_+_1",9010.114531,894.1024022
"hsa-mir-199b-3p_+_2",499.1471162,46.49971273
"hsa-mir-671-5p",282.7970265,58.47158621
"hsa-let-7i-3p",101.3824583,0
"hsa-mir-142-5p",6166.814444,20.09887913
"hsa-mir-28-5p_-_1",107.3145638,15.38854689
"hsa-let-7g-5p_-_1",1246.695857,176.2217575
"hsa-mir-148a-3p",93976.04225,12341.6235
"hsa-mir-210_-_1",158.6853299,56.6097254
"hsa-mir-320b-1",1023.249659,951.8545912
"hsa-mir-320b-2",1035.313106,972.2982597
"hsa-mir-106b-5p",3585.183656,316.3652809
